measurement_id,compound_id,compound_label,descriptor,smiles,smiles_source,smiles_note,source_short,source_journal,source_year,source_doi,source_title,target_raw,target_std,assay_category,assay_subtype,value_raw,unit_raw,value_std,unit_std,censor,table_ref,note,conflict_flag
1,Yang2009_BMCL__14,14,H,,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),4,nM,4.0,nM,,Table 1,,
2,Yang2009_BMCL__14,14,H,,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),52,nM,52.0,nM,,Table 1,,
3,Yang2009_BMCL__15,15,F,,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),7,nM,7.0,nM,,Table 1,,
4,Yang2009_BMCL__15,15,F,,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),123,nM,123.0,nM,,Table 1,,
5,Yang2009_BMCL__16,16,Cl,,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),15,nM,15.0,nM,,Table 1,,
6,Yang2009_BMCL__16,16,Cl,,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),143,nM,143.0,nM,,Table 1,,
7,Yang2009_BMCL__17,17,Br,,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),29,nM,29.0,nM,,Table 1,,
8,Yang2009_BMCL__17,17,Br,,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),153,nM,153.0,nM,,Table 1,,
9,Yang2009_BMCL__18,18,Me,,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),6,nM,6.0,nM,,Table 1,,
10,Yang2009_BMCL__18,18,Me,,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,MOP,MOR,binding_affinity,Ki (radioligand binding),26,nM,26.0,nM,,Table 1,,
11,Yang2009_BMCL__19,19,OMe,,,"В статье структура дана только как 2D-картинка / запись в таблице R-групп — однозначного названия для поиска нет (см. README, 'Известные ограничения').",Yang2009_BMCL,Bioorganic&MedicinalChemistryLetters,2009,10.1016/j.bmcl.2009.03.057,Identification of 3-substituted N-benzhydryl-nortropane analogs as nociceptin receptor ligands for the management of cough and anxiety,NOP,NOP,binding_affinity,Ki (radioligand binding),22,nM,22.0,nM,,Table 1,,
